"name","party","screen_name","class"
"care' nicola","iv","careitaly","D"
"carelli emilio","m5s","emiliocarelli","D"
"caretta maria cristina","fdi","mccaretta","D"
"carfagna maria rosaria","fi","mara_carfagna","D"
"carinelli paola","m5s","berenice0104","D"
"carnevali elena","pd","elenacarnevali","D"
"carrara maurizio","fi","mauri_carrara","D"
"casa vittoria","m5s","v_casa_camera","D"
"casciello luigi","fi","gigicasciello","D"
"casino michele","fi","casino_michele","D"
"caso andrea","m5s","andreacaso85","D"
"cassese gianpaolo","m5s","cassesem5s","D"
"cassinelli roberto","fi",NA,"D"
"castelli laura","m5s","lacastellim5s","D"
"castiello giuseppina","lega","giuseppinacasti","D"
"cataldi roberto","m5s",NA,"D"
"cattaneo alessandro","fi","alecattaneo79","D"
"cattoi maurizio","m5s",NA,"D"
"cattoi vanessa","lega","vcattoi","D"
"cavandoli laura","lega","lauracavpr","D"
"ceccanti stefano","pd","stefanoceccanti","D"
"cecchetti fabrizio","lega","fabricecchetti","D"
"cecconi andrea","m-01","andreacecconi84","D"
"cenni susanna","pd","susannacenni","D"
"centemero giulio","lega","giuliocentemero","D"
"cestari emanuele","lega","cestariemanuele","D"
"chiazzese giuseppe","m5s","chiazzesem5s","D"
"ciaburro monica","fdi","monicaciaburro","D"
"ciampi lucia","pd","lucia_ciampi","D"
"cillis luciano","m5s","cillis_luciano","D"
"cimino rosalba","m5s","ciminom5s","D"
"ciprini tiziana","m5s","tizicip","D"
"cirielli edmondo","fdi","edmondocirielli","D"
"coin dimitri","lega","dimitricoin","D"
"colaninno matteo","iv",NA,"D"
"colla jari","lega","jaricolla","D"
"colletti andrea","m5s","andcol81","D"
"colmellere angela","lega",NA,"D"
"colucci alessandro","m-03","alecolucci1","D"
"comaroli silvana andreina","lega","comarolisilvana","D"
"comencini vito","lega","comencinivito","D"
"cominardi claudio","m5s","cla_cominardi","D"
"conte federico","leu","fedeavvconte","D"
"corda emanuela","m5s","emanuela_corda","D"
"corneli valentina","m5s","unavaleuno","D"
"cortelazzo piergiorgio","fi","pcortelazzo","D"
"costa enrico","fi","ecofficialmusic","D"
"costanzo jessica","m5s","jcostanzo_m5s","D"
"covolo silvia","lega",NA,"D"
"crippa andrea","lega",NA,"D"
"crippa davide","m5s","crippa5stelle","D"
"cristina mirella","fi","mire_cris","D"
"critelli francesco","pd",NA,"D"
"cubeddu sebastiano","m5s",NA,"D"
"cunial sara","m-02",NA,"D"
"curro' giovanni","m5s","giova_curro","D"
"dadone fabiana","m5s","dadonefabiana","D"
"daga federica","m5s","federicadaga","D"
"d'alessandro camillo","iv","dalessandrocam","D"
"dall'osso matteo","fi","matteodallosso","D"
"dal moro gian pietro","pd","giannidalmoro","D"
"d'ambrosio giuseppe","m5s","giuseppedambro1","D"
"dara andrea","lega","dara_andrea","D"
"d'arrando celeste","m5s","celedarrandom5s","D"
"d'attis mauro","fi","maurodattis","D"
"de angelis sara","lega",NA,"D"
"de carlo luca","fdi","decarlosindaco","D"
"de carlo sabrina","m5s","sabrina_decarlo","D"
"de filippo vito","iv","vito_defilippo","D"
"de giorgi rosalba","m5s",NA,"D"
"de girolamo carlo ugo","m5s",NA,"D"
"deiana paola","m5s","paola_deiana","D"
"deidda salvatore","fdi","deidda","D"
"del barba mauro","iv","emmedibi","D"
"del basso de caro umberto","pd","umberto_bas","D"
"del grosso daniele","m5s","dgpilot81","D"
"della frera guido","fi","gfrera","D"
"delmastro delle vedove andrea","fdi","delmastroandrea","D"
"del monaco antonio","m5s","delmonaco12","D"
"de lorenzis diego","m5s","diegodelorenzis","D"
"de lorenzo rina","m5s","delorenzorina","D"
