"name","party","screen_name","class"
"perego di cremnago matteo","fi",NA,"D"
"pettarin guido germano","fi","GuidoPettarin","D"
"pettazzi lino","lega","PettazziLino","D"
"pezzopane stefania","pd","stefaniapezzopa","D"
"piastra carlo","lega","CPiastra2","D"
"picchi guglielmo","lega","guglielmopicchi","D"
"piccoli nardelli flavia","pd","FlaviaNardelli1","D"
"piccolo tiziana","lega",NA,"D"
"pignatone dedalo cosimo gaetano","m5s",NA,"D"
"pini giuditta","pd","giuditta_pini","D"
"pittalis pietro","fi","PittalisPietro","D"
"pizzetti luciano","pd",NA,"D"
"plangger albrecht","m-04",NA,"D"
"polidori catia","fi","CatiaPolidori","D"
"pollastrini barbara","pd",NA,"D"
"polverini renata","fi","renatapolverini","D"
"porchietto claudia","fi","ClaudiaPorchiet","D"
"portas giacomo","iv",NA,"D"
"potenti manfredi","lega","ManfrediPotenti","D"
"prestigiacomo stefania","fi",NA,"D"
"prestipino patrizia","pd","patriziaprestip","D"
"pretto erik umberto","lega","erik_pretto","D"
"prisco emanuele","fdi","EmanuelePrisco","D"
"provenza nicola","m5s","NicolaProvenza","D"
"quartapelle procopio lia","pd","LiaQuartapelle","D"
"racchella germano","lega",NA,"D"
"raciti fausto","pd","faustorac","D"
"raduzzi raphael","m5s","RaphaelRaduzzi","D"
"raffa angela","m5s","RaffaAngela","D"
"raffaelli elena","lega",NA,"D"
"rampelli fabio","fdi","fabiorampelli","D"
"ravetto laura","fi","lauraravetto","D"
"ribolla alberto","lega",NA,"D"
"ricciardi riccardo","m5s","RicRicciardi","D"
"ripani elisabetta","fi","BettaRipani","D"
"rixi edoardo","lega","edorixi","D"
"rizzetto walter","fdi","w_rizzetto","D"
"rizzo gianluca","m5s","gianlucarizzo46","D"
"rizzone marco","m5s","rizzonem","D"
"rizzo nervo luca","pd","lucarizzonervo","D"
"romaniello cristian","m5s","Cristian5stelle","D"
"romano andrea","pd","AndreaRomano9","D"
"romano paolo nicolo'","m5s",NA,"D"
"rosato ettore","iv","Ettore_Rosato","D"
"rospi gianluca","m-02","GianlucaRospi","D"
"rossello cristina","fi","AvvRossello","D"
"rossi andrea","pd","andrearossi76","D"
"rossini emanuela","m-04",NA,"D"
"rossini roberto","m5s","Rob_Rossini5","D"
"rosso roberto","fi","OnRobertoRosso","D"
"rostan michela","iv","MichelaRostan","D"
"rotelli mauro","fdi",NA,"D"
"rotondi gianfranco","fi",NA,"D"
"rotta alessia","pd",NA,"D"
"ruffino daniela","fi","DanielaRuffino2","D"
"ruggieri andrea","fi","AdeRuggieri","D"
"ruggiero francesca anna","m5s","franna_rugg84","D"
"ruocco carla","m5s","carlaruocco1","D"
"russo giovanni","m5s",NA,"D"
"russo paolo","fi","_PaoloRusso_","D"
"saccani jotti gloria","fi",NA,"D"
"saitta eugenio","m5s","eugenio_saitta","D"
"salafia angela","m5s","AngelaSalafia","D"
"saltamartini barbara","lega","BSaltamartini","D"
"sangregorio eugenio","m-03",NA,"D"
"sapia francesco","m5s",NA,"D"
"sarli doriana","m5s",NA,"D"
"sarro carlo","fi",NA,"D"
"sarti giulia","m5s","GiuliaSarti86","D"
"sasso rossano","lega","roxsasso","D"
"savino elvira","fi","elvirasavino","D"
"savino sandra","fi","Sandra_Savino","D"
"scagliusi emanuele","m5s","E_Scagliusi","D"
"scalfarotto ivan","iv","ivanscalfarotto","D"
"scanu lucia","m5s","luciasar","D"
"scerra filippo","m5s","FilippoScerra","D"
"schiro' angela","pd","angela_schiro","D"
"schullian manfred","m-04",NA,"D"
"scoma francesco","fi","francesco_scoma","D"
"scutella' elisa","m5s","elisascutell","D"
"segneri enrica","m5s",NA,"D"
"sensi filippo","pd",NA,"D"
"serracchiani debora","pd","serracchiani","D"
"serritella davide","m5s",NA,"D"
"sgarbi vittorio","m-03","VittorioSgarbi","D"
"siani paolo","pd","SianiPaolo","D"
"sibilia carlo","m5s","carlosibilia","D"
"sibilia cosimo","fi","CosimoSibilia","D"
"silli giorgio","m-03","GiorgioSilli","D"
"silvestri francesco","m5s","FraSilvestriM5S","D"
"silvestri rachele","m-02","raksilv","D"
"silvestroni marco","fdi","Silvestroninews","D"
"siracusano matilde","fi","mati_siracusano","D"
"siragusa elisa","m5s",NA,"D"
"sisto francesco paolo","fi",NA,"D"
"sodano michele","m5s","MicSodano","D"
"sorte alessandro","m-03","sortealex","D"
"soverini serse","pd","SerseSoverini","D"
"sozzani diego","fi","SozzaniDiego","D"
"spadafora vincenzo","m5s","vinspadafora","D"
"spadoni maria edera","m5s","mariaederaM5S","D"
"spena maria","fi","maria_spena","D"
"speranza roberto","leu","robersperanza","D"
"spessotto arianna","m5s",NA,"D"
"sportiello gilda","m5s","SportielloGilda","D"
"squeri luca","fi",NA,"D"
"stefani alberto","lega",NA,"D"
"stumpo nicola","leu","NicoStumpo","D"
"suriano simona","m5s","simonasuriano","D"
"sut luca","m5s","Luca_Sut","D"
"sutto mauro","lega","MauroSutto","D"
"tabacci bruno","m-05","BrunoTabacci","D"
"tarantino leonardo","lega",NA,"D"
"tartaglione annaelsa","fi","AnnaelsaT","D"
"tasso antonio","m-01","tasso79","D"
"tateo anna rita","lega","tateo_annarita","D"
"termini guia","m5s","Guia_Termini","D"
"terzoni patrizia","m5s","PatriziaTerzoni","D"
"testamento rosa alba","m5s",NA,"D"
"tiramani paolo","lega","PaoloTiramani","D"
"toccafondi gabriele","iv","GToccafondi","D"
"toccalini luca","lega","LucaToccalini","D"
"tofalo angelo","m5s","AngeloTofalo","D"
"tomasi maura","lega","mauratomasi","D"
"tombolato giovanni battista","lega",NA,"D"
"tondo renzo","m-03","renzotondo","D"
"tonelli gianni","lega","GianniTonelli","D"
"topo raffaele","pd",NA,"D"
"torto daniela","m5s","daniela_torto","D"
"trancassini paolo","fdi","PTrancassini","D"
"trano raffaele","m-02","raffaele_trano","D"
"traversi roberto","m5s","TraversiRoberto","D"
"tripiedi davide","m5s",NA,"D"
"tripodi elisa","m5s","ElisaTripodi","D"
"tripodi maria","fi","tripodimaria","D"
"trizzino giorgio","m5s","GiorgioTrizzino","D"
"troiano francesca","m5s",NA,"D"
"tucci riccardo","m5s","RicTucci","D"
"turri roberto","lega",NA,"D"
"tuzi manuel","m5s",NA,"D"
"ungaro massimo","iv","MassimoUngaro","D"
"vacca gianluca","m5s","GianlucaVacca","D"
"valbusa vania","lega","VaniaValbusa","D"
"valente simone","m5s","ValenteM5S","D"
"valentini valentino","fi",NA,"D"
"vallascas andrea","m5s","AndreaVallascas","D"
"vallotto sergio","lega",NA,"D"
"varchi maria carolina","fdi",NA,"D"
"varrica adriano","m5s","AdrianoVarrica","D"
"vazio franco","pd","francovazio","D"
"verini walter","pd","VeriniWalter","D"
"versace giuseppina","fi","GiusyVersace","D"
"vianello giovanni","m5s","VianelloGio","D"
"vietina simona","fi","SimonaVietina","D"
"vignaroli stefano","m5s","SVignaroli","D"
"villani virginia","m5s","VILLANIM5S","D"
"villarosa alessio mattia","m5s",NA,"D"
"vinci gianluca","lega","GianlucaVinci80","D"
"viscomi antonio","pd","a_viscomi","D"
"vitiello catello","iv","CatelloVitiell1","D"
"vito elio","fi","elio_vito","D"
"viviani lorenzo","lega",NA,"D"
"vizzini gloria","m-02","gloria_vizzini","D"
"volpi leda","m5s",NA,"D"
"volpi raffaele","lega","volpi_raffaele","D"
